Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Major,Minor,Angle
180822_134935_C2_Phase_10x_(2).jpg,58,5930,102.241,0.536,255,36.811,12.476,9.831,84.360
180822_134935_C2_Phase_10x_(3).jpg,47,4818,102.511,0.435,255,38.013,12.556,9.918,67.483
180822_134936_C2_Phase_10x_(4).jpg,46,4246,92.304,0.384,255,35.166,11.692,9.504,84.857
180822_135021_C2_Phase_10x_(5).jpg,58,5058,87.207,0.457,255,34.222,11.833,9.214,85.051
180822_135021_C2_Phase_10x_(6).jpg,57,6191,108.614,0.560,255,38.738,13.019,10.093,90.134
180822_135021_C2_Phase_10x_(7).jpg,51,4908,96.235,0.444,255,38.260,12.456,9.327,84.937
180822_135021_C2_Phase_10x_(8).jpg,38,4436,116.737,0.401,255,43.028,13.682,10.340,76.707
180822_135159_D2_Phase_10x.jpg,6,547,91.167,0.049,255,34.530,11.950,9.510,106.722
180822_135200_D2_Phase_10x_(2).jpg,2,187,93.500,0.017,255,35.627,12.761,9.237,64.201
180822_135200_D2_Phase_10x_(3).jpg,5,663,132.600,0.060,255,47.113,13.729,12.034,130.250
180822_135200_D2_Phase_10x_(4).jpg,4,522,130.500,0.047,255,45.517,13.105,11.101,41.671
180822_135337_D2_Phase_10x_(5).jpg,1,211,211.000,0.019,255,57.355,21.307,12.608,142.168
180822_135337_D2_Phase_10x_(6).jpg,4,327,81.750,0.030,255,36.885,11.169,9.243,92.506
180822_135338_D2_Phase_10x_(7).jpg,3,262,87.333,0.024,255,36.627,12.152,7.817,92.240
180822_135338_D2_Phase_10x_(8).jpg,2,171,85.500,0.015,255,37.627,11.316,9.612,121.743
180822_135459_D3_Phase_10x.jpg,108,11448,106.000,1.035,255,37.892,12.763,10.072,100.893
180822_135459_D3_Phase_10x_(2).jpg,70,6547,93.529,0.592,255,35.086,11.951,9.653,87.929
180822_135459_D3_Phase_10x_(3).jpg,55,5069,92.164,0.458,255,35.412,11.734,9.479,92.011
180822_135459_D3_Phase_10x_(4).jpg,53,5470,103.208,0.494,255,37.926,12.722,9.891,82.912
180822_135559_D3_Phase_10x_(5).jpg,74,6879,92.959,0.622,255,35.232,12.232,9.544,92.430
180822_135559_D3_Phase_10x_(6).jpg,63,5813,92.270,0.525,255,35.213,11.939,9.546,91.413
180822_135559_D3_Phase_10x_(7).jpg,66,6487,98.288,0.586,255,35.941,12.313,9.801,88.460
180822_135559_D3_Phase_10x_(8).jpg,109,12080,110.826,1.092,255,38.699,12.880,10.328,96.861
180822_135810_D4_Phase_10x.jpg,85,10344,121.694,0.935,255,41.333,13.547,10.649,91.473
180822_135810_D4_Phase_10x_(2).jpg,40,4141,103.525,0.374,255,37.352,12.573,10.300,95.192
180822_135810_D4_Phase_10x_(3).jpg,36,3432,95.333,0.310,255,39.282,12.307,9.356,85.593
180822_135810_D4_Phase_10x_(4).jpg,42,3705,88.214,0.335,255,34.502,11.509,9.461,67.596
180822_135957_D4_Phase_10x_(5).jpg,91,11150,122.527,1.008,255,41.380,13.568,10.693,93.960
180822_135957_D4_Phase_10x_(6).jpg,48,4774,99.458,0.431,255,36.537,12.431,9.763,111.864
180822_135957_D4_Phase_10x_(7).jpg,54,5484,101.556,0.496,255,37.091,12.452,9.882,99.240
180822_135957_D4_Phase_10x_(8).jpg,31,3441,111.000,0.311,255,39.080,12.932,10.243,88.577
180822_141701_D5_Phase_10x.jpg,4,368,92.000,0.033,255,35.592,12.240,9.593,51.853
180822_141701_D5_Phase_10x_(2).jpg,5,398,79.600,0.036,255,31.916,10.922,9.077,70.800
180822_141702_D5_Phase_10x_(3).jpg,4,408,102.000,0.037,255,38.895,12.506,10.160,131.331
180822_141702_D5_Phase_10x_(4).jpg,4,480,120.000,0.043,255,40.102,12.982,10.853,94.494
180822_141851_D5_Phase_10x_(5).jpg,4,352,88.000,0.032,255,33.799,12.172,9.214,104.170
180822_141851_D5_Phase_10x_(6).jpg,2,179,89.500,0.016,255,34.627,12.098,9.393,87.127
180822_141851_D5_Phase_10x_(7).jpg,2,62,31.000,0.006,255,25.971,7.976,4.948,130.816
180822_141851_D5_Phase_10x_(8).jpg,1,186,186.000,0.017,255,54.770,15.815,14.974,30.059
180822_142049_D6_Phase_10x.jpg,7,658,94.000,0.059,255,34.878,11.989,9.914,103.727
180822_142049_D6_Phase_10x_(2).jpg,9,828,92.000,0.075,255,34.915,11.940,9.518,134.757
180822_142049_D6_Phase_10x_(3).jpg,13,1697,130.538,0.153,255,42.536,13.570,11.119,79.286
180822_142049_D6_Phase_10x_(4).jpg,11,1423,129.364,0.129,255,44.369,13.622,10.200,93.680
180822_142153_D6_Phase_10x_(5).jpg,10,1130,113.000,0.102,255,39.114,12.999,10.075,118.855
180822_142153_D6_Phase_10x_(6).jpg,8,1078,134.750,0.097,255,45.413,14.171,11.253,105.214
180822_142153_D6_Phase_10x_(7).jpg,8,840,105.000,0.076,255,41.491,13.180,9.641,96.192
180822_142154_D6_Phase_10x_(8).jpg,5,430,86.000,0.039,255,33.427,11.730,9.248,121.102
180822_142333_D7_Phase_10x.jpg,6,501,83.500,0.045,255,33.132,11.646,9.091,77.003
180822_142333_D7_Phase_10x_(2).jpg,0,0,NaN,0.000,NaN,NaN,NaN,NaN,NaN
180822_142333_D7_Phase_10x_(3).jpg,3,92,30.667,0.008,255,24.028,7.643,5.082,97.251
180822_142333_D7_Phase_10x_(4).jpg,1,128,128.000,0.012,255,41.698,13.696,11.899,149.707
180822_142422_D7_Phase_10x_(5).jpg,1,193,193.000,0.017,255,54.527,19.441,12.640,163.160
180822_142423_D7_Phase_10x_(6).jpg,6,842,140.333,0.076,255,45.163,16.070,10.648,66.840
180822_142423_D7_Phase_10x_(7).jpg,1,28,28.000,0.003,255,25.556,7.628,4.674,107.466
180822_142423_D7_Phase_10x_(8).jpg,3,317,105.667,0.029,255,37.294,13.536,9.951,147.315
180822_142519_E2_Phase_10x.jpg,69,10150,147.101,0.917,255,45.825,14.522,11.891,93.997
180822_142520_E2_Phase_10x_(2).jpg,22,2432,110.545,0.220,255,38.687,13.018,10.457,79.098
180822_142520_E2_Phase_10x_(3).jpg,16,1380,86.250,0.125,255,34.390,11.867,9.170,96.858
180822_142520_E2_Phase_10x_(4).jpg,21,2072,98.667,0.187,255,36.757,12.350,9.960,93.767
180822_142556_E2_Phase_10x_(5).jpg,13,1006,77.385,0.091,255,33.277,11.274,8.585,113.873
180822_142556_E2_Phase_10x_(6).jpg,21,2425,115.476,0.219,255,39.314,13.115,10.431,93.103
180822_142556_E2_Phase_10x_(7).jpg,43,4425,102.907,0.400,255,37.081,12.306,10.149,82.197
180822_142556_E2_Phase_10x_(8).jpg,19,1695,89.211,0.153,255,34.856,11.928,9.395,95.254
180822_142700_E3_Phase_10x.jpg,30,3601,120.033,0.325,255,40.423,13.511,10.569,86.391
180822_142700_E3_Phase_10x_(2).jpg,12,1140,95.000,0.103,255,35.579,12.162,9.634,121.548
180822_142700_E3_Phase_10x_(3).jpg,6,653,108.833,0.059,255,38.668,13.499,10.247,82.036
180822_142700_E3_Phase_10x_(4).jpg,11,1339,121.727,0.121,255,40.312,13.487,10.516,111.096
180822_142908_E3_Phase_10x_(5).jpg,6,941,156.833,0.085,255,49.210,15.823,11.210,98.575
180822_142908_E3_Phase_10x_(6).jpg,9,593,65.889,0.054,255,32.915,9.957,7.284,98.755
180822_142908_E3_Phase_10x_(7).jpg,7,721,103.000,0.065,255,37.958,13.064,9.833,106.402
180822_142908_E3_Phase_10x_(8).jpg,9,844,93.778,0.076,255,38.226,12.684,9.369,92.784
180822_143115_E4_Phase_10x.jpg,1,30,30.000,0.003,255,21.556,8.822,4.330,159.989
180822_143115_E4_Phase_10x_(2).jpg,2,99,49.500,0.009,255,25.971,9.562,6.504,106.637
180822_143115_E4_Phase_10x_(3).jpg,0,0,NaN,0.000,NaN,NaN,NaN,NaN,NaN
180822_143115_E4_Phase_10x_(4).jpg,0,0,NaN,0.000,NaN,NaN,NaN,NaN,NaN
180822_143252_E4_Phase_10x_(5).jpg,0,0,NaN,0.000,NaN,NaN,NaN,NaN,NaN
180822_143253_E4_Phase_10x_(6).jpg,2,82,41.000,0.007,255,23.849,8.226,6.313,62.604
180822_143253_E4_Phase_10x_(7).jpg,0,0,NaN,0.000,NaN,NaN,NaN,NaN,NaN
180822_143253_E4_Phase_10x_(8).jpg,4,160,40.000,0.014,255,28.653,8.830,5.674,125.616
180822_143431_E5_Phase_10x.jpg,159,20780,130.692,1.878,255,42.800,14.160,11.108,87.496
180822_143431_E5_Phase_10x_(2).jpg,52,5119,98.442,0.463,255,36.148,12.044,9.964,91.722
180822_143431_E5_Phase_10x_(3).jpg,30,2616,87.200,0.236,255,35.730,11.626,9.306,94.823
180822_143431_E5_Phase_10x_(4).jpg,49,4613,94.143,0.417,255,36.126,11.979,9.669,98.295
180822_143520_E5_Phase_10x_(5).jpg,39,3314,84.974,0.300,255,33.846,11.671,9.151,80.090
180822_143520_E5_Phase_10x_(6).jpg,39,3950,101.282,0.357,255,36.586,12.363,10.098,87.974
180822_143520_E5_Phase_10x_(7).jpg,52,5239,100.750,0.473,255,36.563,12.105,10.101,97.215
180822_143520_E5_Phase_10x_(8).jpg,29,2515,86.724,0.227,255,35.586,11.454,9.361,95.387
180822_143720_E6_Phase_10x.jpg,4,492,123.000,0.044,255,40.956,14.654,10.241,77.507
180822_143720_E6_Phase_10x_(2).jpg,1,34,34.000,0.003,255,27.799,7.536,5.744,107.052
180822_143720_E6_Phase_10x_(3).jpg,1,30,30.000,0.003,255,25.556,6.591,5.795,130.398
180822_143720_E6_Phase_10x_(4).jpg,1,50,50.000,0.005,255,26.142,9.529,6.681,64.802
180822_143819_E6_Phase_10x_(5).jpg,1,138,138.000,0.012,255,42.284,14.573,12.057,25.556
180822_143819_E6_Phase_10x_(6).jpg,2,72,36.000,0.007,255,27.213,7.571,5.996,69.289
180822_143819_E6_Phase_10x_(7).jpg,0,0,NaN,0.000,NaN,NaN,NaN,NaN,NaN
180822_143819_E6_Phase_10x_(8).jpg,0,0,NaN,0.000,NaN,NaN,NaN,NaN,NaN
180822_143914_E7_Phase_10x.jpg,50,5794,115.880,0.524,255,39.565,13.194,10.600,86.011
180822_143914_E7_Phase_10x_(2).jpg,6,1009,168.167,0.091,255,46.268,14.494,12.982,91.445
180822_143914_E7_Phase_10x_(3).jpg,1,74,74.000,0.007,255,36.284,12.444,7.571,119.048
180822_143914_E7_Phase_10x_(4).jpg,1,121,121.000,0.011,255,45.355,13.490,11.421,112.084
180822_144004_E7_Phase_10x_(5).jpg,1,115,115.000,0.010,255,38.627,13.391,10.935,173.560
180822_144004_E7_Phase_10x_(6).jpg,8,730,91.250,0.066,255,34.463,11.937,9.709,95.031
180822_144004_E7_Phase_10x_(7).jpg,9,732,81.333,0.066,255,33.408,11.765,8.642,101.941
180822_144005_E7_Phase_10x_(8).jpg,4,364,91.000,0.033,255,35.188,12.175,9.447,121.373
180822_144107_B6_Phase_10x.jpg,186,18513,99.532,1.673,255,36.527,12.424,9.756,88.263
180822_144107_B6_Phase_10x_(2).jpg,67,7721,115.239,0.698,255,39.466,13.213,10.175,85.379
180822_144107_B6_Phase_10x_(3).jpg,57,6202,108.807,0.561,255,37.922,12.458,10.212,95.042
180822_144107_B6_Phase_10x_(4).jpg,69,6604,95.710,0.597,255,35.666,12.010,9.704,102.966
180822_144207_B6_Phase_10x_(5).jpg,68,6634,97.559,0.600,255,36.211,12.229,9.743,108.295
180822_144207_B6_Phase_10x_(6).jpg,38,4404,115.895,0.398,255,40.460,13.066,10.697,86.027
180822_144207_B6_Phase_10x_(7).jpg,52,5036,96.846,0.455,255,36.911,12.274,9.541,93.506
180822_144207_B6_Phase_10x_(8).jpg,51,5138,100.745,0.464,255,37.624,12.861,9.591,93.031
180822_144311_B5_Phase_10x.jpg,196,20256,103.347,1.831,255,37.236,12.649,10.050,92.669
180822_144311_B5_Phase_10x_(2).jpg,70,6025,86.071,0.545,255,33.446,11.433,9.276,86.853
180822_144311_B5_Phase_10x_(3).jpg,68,5879,86.456,0.531,255,33.673,11.411,9.385,97.548
180822_144311_B5_Phase_10x_(4).jpg,101,9421,93.277,0.851,255,35.680,12.255,9.422,95.939
180822_144353_B5_Phase_10x_(5).jpg,69,5946,86.174,0.537,255,33.697,11.410,9.344,92.732
180822_144353_B5_Phase_10x_(6).jpg,67,5957,88.910,0.538,255,34.259,11.605,9.460,89.838
180822_144353_B5_Phase_10x_(7).jpg,68,6681,98.250,0.604,255,36.695,12.336,9.851,86.483
180822_144354_B5_Phase_10x_(8).jpg,79,7923,100.291,0.716,255,36.672,12.706,9.703,104.377
180822_144532_B4_Phase_10x.jpg,5,492,98.400,0.044,255,36.110,12.422,10.085,66.636
180822_144532_B4_Phase_10x_(2).jpg,1,90,90.000,0.008,255,34.385,12.308,9.310,93.897
180822_144532_B4_Phase_10x_(3).jpg,2,173,86.500,0.016,255,34.213,11.732,9.388,115.542
180822_144532_B4_Phase_10x_(4).jpg,0,0,NaN,0.000,NaN,NaN,NaN,NaN,NaN
180822_144611_B4_Phase_10x_(5).jpg,6,689,114.833,0.062,255,38.375,13.388,10.122,63.487
180822_144611_B4_Phase_10x_(6).jpg,1,58,58.000,0.005,255,36.870,10.637,6.943,121.473
180822_144611_B4_Phase_10x_(7).jpg,1,34,34.000,0.003,255,20.971,6.748,6.415,110.396
180822_144611_B4_Phase_10x_(8).jpg,3,251,83.667,0.023,255,32.856,11.866,8.972,89.429
180822_144700_B3_Phase_10x.jpg,31,3136,101.161,0.283,255,36.045,12.267,9.881,68.092
180822_144700_B3_Phase_10x_(2).jpg,24,2112,88.000,0.191,255,34.445,11.738,9.288,70.923
180822_144700_B3_Phase_10x_(3).jpg,13,1250,96.154,0.113,255,35.641,11.810,9.891,91.423
180822_144700_B3_Phase_10x_(4).jpg,18,1697,94.278,0.153,255,35.790,11.970,9.547,102.424
180822_144740_B3_Phase_10x_(5).jpg,33,3309,100.273,0.299,255,35.670,12.010,9.981,85.447
180822_144740_B3_Phase_10x_(6).jpg,19,1837,96.684,0.166,255,36.019,12.450,9.698,77.611
180822_144740_B3_Phase_10x_(7).jpg,17,1454,85.529,0.131,255,33.936,11.500,9.012,70.845
180822_144740_B3_Phase_10x_(8).jpg,14,1250,89.286,0.113,255,35.780,12.135,9.198,58.668
180822_144832_B2_Phase_10x.jpg,23,2537,110.304,0.229,255,38.631,12.748,10.497,83.604
180822_144832_B2_Phase_10x_(2).jpg,8,762,95.250,0.069,255,36.658,11.285,9.670,89.724
180822_144832_B2_Phase_10x_(3).jpg,12,1155,96.250,0.104,255,36.826,12.452,9.174,84.330
180822_144832_B2_Phase_10x_(4).jpg,8,806,100.750,0.073,255,36.877,12.957,9.796,109.331
180822_144910_B3_Phase_10x_(10).jpg,10,921,92.100,0.083,255,35.427,11.474,9.644,95.255
180822_144910_B3_Phase_10x_(9).jpg,12,1355,112.917,0.122,255,39.634,12.651,10.013,91.477
180822_144911_B3_Phase_10x_(11).jpg,16,1340,83.750,0.121,255,33.719,11.915,8.899,75.813
180822_144911_B3_Phase_10x_(12).jpg,11,1079,98.091,0.098,255,37.173,12.453,9.913,95.784
B2_-1_1_1_Bright Field_001.jpg,23,2537,110.304,0.229,255,38.631,12.748,10.497,83.604
B2_-1_1_1_Bright_Field_001.jpg,23,2537,110.304,0.229,255,38.631,12.748,10.497,83.604
B3_-1_1_1_Bright Field_001.jpg,11,1079,98.091,0.098,255,37.173,12.453,9.913,95.784
B3_-1_1_1_Bright_Field_001.jpg,11,1079,98.091,0.098,255,37.173,12.453,9.913,95.784
B4_-1_1_1_Bright Field_001.jpg,3,251,83.667,0.023,255,32.856,11.866,8.972,89.429
B4_-1_1_1_Bright_Field_001.jpg,3,251,83.667,0.023,255,32.856,11.866,8.972,89.429
B5_-1_1_1_Bright Field_001.jpg,79,7923,100.291,0.716,255,36.672,12.706,9.703,104.377
B5_-1_1_1_Bright_Field_001.jpg,79,7923,100.291,0.716,255,36.672,12.706,9.703,104.377
B6_-1_1_1_Bright Field_001.jpg,51,5138,100.745,0.464,255,37.624,12.861,9.591,93.031
B6_-1_1_1_Bright_Field_001.jpg,51,5138,100.745,0.464,255,37.624,12.861,9.591,93.031
B7_-1_1_1_Bright Field_001.jpg,9,946,105.111,0.085,255,39.467,12.423,9.984,98.557
B7_-1_1_1_Bright_Field_001.jpg,9,946,105.111,0.085,255,39.467,12.423,9.984,98.557
C2_-1_1_1_Bright Field_001.jpg,38,4436,116.737,0.401,255,43.028,13.682,10.340,76.707
C2_-1_1_1_Bright_Field_001.jpg,38,4436,116.737,0.401,255,43.028,13.682,10.340,76.707
C3_-1_1_1_Bright Field_001.jpg,257,28471,110.782,2.573,255,38.984,13.265,10.103,91.700
C3_-1_1_1_Bright_Field_001.jpg,257,28471,110.782,2.573,255,38.984,13.265,10.103,91.700
C4_-1_1_1_Bright Field_001.jpg,1,34,34.000,0.003,255,21.556,6.847,6.323,113.359
C4_-1_1_1_Bright_Field_001.jpg,1,34,34.000,0.003,255,21.556,6.847,6.323,113.359
C5_-1_1_1_Bright Field_001.jpg,2,192,96.000,0.017,255,35.385,12.025,10.042,28.613
C5_-1_1_1_Bright_Field_001.jpg,2,192,96.000,0.017,255,35.385,12.025,10.042,28.613
C6_-1_1_1_Bright Field_001.jpg,230,27519,119.648,2.487,255,40.267,13.699,10.543,92.756
C6_-1_1_1_Bright_Field_001.jpg,230,27519,119.648,2.487,255,40.267,13.699,10.543,92.756
C7_-1_1_1_Bright Field_001.jpg,40,4147,103.675,0.375,255,39.176,12.702,9.622,102.551
C7_-1_1_1_Bright_Field_001.jpg,40,4147,103.675,0.375,255,39.176,12.702,9.622,102.551
D2_-1_1_1_Bright Field_001.jpg,2,171,85.500,0.015,255,37.627,11.316,9.612,121.743
D2_-1_1_1_Bright_Field_001.jpg,2,171,85.500,0.015,255,37.627,11.316,9.612,121.743
D3_-1_1_1_Bright Field_001.jpg,109,12080,110.826,1.092,255,38.699,12.880,10.328,96.861
D3_-1_1_1_Bright_Field_001.jpg,109,12080,110.826,1.092,255,38.699,12.880,10.328,96.861
D4_-1_1_1_Bright Field_001.jpg,31,3441,111.000,0.311,255,39.080,12.932,10.243,88.577
D4_-1_1_1_Bright_Field_001.jpg,31,3441,111.000,0.311,255,39.080,12.932,10.243,88.577
D5_-1_1_1_Bright Field_001.jpg,1,186,186.000,0.017,255,54.770,15.815,14.974,30.059
D5_-1_1_1_Bright_Field_001.jpg,1,186,186.000,0.017,255,54.770,15.815,14.974,30.059
D6_-1_1_1_Bright Field_001.jpg,5,430,86.000,0.039,255,33.427,11.730,9.248,121.102
D6_-1_1_1_Bright_Field_001.jpg,5,430,86.000,0.039,255,33.427,11.730,9.248,121.102
D7_-1_1_1_Bright Field_001.jpg,3,317,105.667,0.029,255,37.294,13.536,9.951,147.315
D7_-1_1_1_Bright_Field_001.jpg,3,317,105.667,0.029,255,37.294,13.536,9.951,147.315
E2_-1_1_1_Bright Field_001.jpg,19,1695,89.211,0.153,255,34.856,11.928,9.395,95.254
E2_-1_1_1_Bright_Field_001.jpg,19,1695,89.211,0.153,255,34.856,11.928,9.395,95.254
E3_-1_1_1_Bright Field_001.jpg,9,844,93.778,0.076,255,38.226,12.684,9.369,92.784
E3_-1_1_1_Bright_Field_001.jpg,9,844,93.778,0.076,255,38.226,12.684,9.369,92.784
E4_-1_1_1_Bright Field_001.jpg,4,160,40.000,0.014,255,28.653,8.830,5.674,125.616
E4_-1_1_1_Bright_Field_001.jpg,4,160,40.000,0.014,255,28.653,8.830,5.674,125.616
E5_-1_1_1_Bright Field_001.jpg,29,2515,86.724,0.227,255,35.586,11.454,9.361,95.387
E5_-1_1_1_Bright_Field_001.jpg,29,2515,86.724,0.227,255,35.586,11.454,9.361,95.387
E6_-1_1_1_Bright Field_001.jpg,0,0,NaN,0.000,NaN,NaN,NaN,NaN,NaN
E6_-1_1_1_Bright_Field_001.jpg,0,0,NaN,0.000,NaN,NaN,NaN,NaN,NaN
E7_-1_1_1_Bright Field_001.jpg,4,364,91.000,0.033,255,35.188,12.175,9.447,121.373
E7_-1_1_1_Bright_Field_001.jpg,4,364,91.000,0.033,255,35.188,12.175,9.447,121.373
