FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
944295,252803,13785,5460,56169,15219,1328513,352653,12362,4490,48830,13162,67,179
200535,21560,272,116,239,0,262490,29644,155,81,529,304,53,179
439025,78410,5883,2115,16321,4336,712014,125972,6034,2176,18998,5424,47,179
39934,3001,209,231,513,481,99128,6010,112,129,441,496,25,179
850511,314185,9829,4371,102859,31225,1665812,517750,10154,4653,107256,32231,65,179
42805,5076,291,128,206,171,135538,12534,274,72,116,136,20,180
16196,2467,102,130,314,134,63448,7703,45,116,260,36,15,180
16002,1722,145,163,496,0,65042,4986,50,124,449,0,13,180
31028,1170,377,398,676,0,79796,2846,236,264,681,249,30,180
1092597,93861,11149,4109,41601,11906,1938677,135452,10549,3595,43251,13133,65,182
75000,3533,8,271,414,120,220003,7186,0,280,232,188,28,184
1062130,537185,16796,5480,46371,13897,1626734,809511,14779,5327,43406,14688,64,184
607719,124575,6408,2595,22333,5324,1167077,212309,6636,2521,25429,6348,56,185
1445906,189095,10812,4451,43397,11934,2663891,313722,11429,4850,46758,13994,56,185
1100890,198385,11496,4315,38899,11979,1687735,300725,10702,3867,38044,11574,56,185
983005,134564,11002,4436,42330,10775,1497048,203968,10166,3767,40809,11450,60,186
1465401,336452,19228,7768,79021,23397,2914694,534487,20382,7582,84179,23900,67,186
32391,2037,127,221,237,385,57450,4757,119,173,124,224,29,186
862095,165651,12469,4719,51748,15328,1302405,253028,11308,4168,47276,16133,67,186
1112490,247924,13789,5460,55467,13078,1748596,404248,13439,5064,51878,11813,51,187
863298,178626,10316,4216,37904,12499,1243862,277209,9507,3963,37166,13158,56,189
17287,2910,177,212,298,456,74654,17165,129,125,802,995,14,189
55070,9270,0,104,349,132,115067,15209,0,42,172,82,36,190
165134,11517,150,75,298,246,355083,20443,68,84,350,382,39,190
1163074,144691,11076,4460,43718,13045,1998381,227566,11074,4330,44707,17122,60,190
657179,55506,6798,2427,25143,7202,1301052,82713,6596,2412,26431,7742,57,190
1074728,195070,13905,5375,37971,11776,1768000,326679,14498,5537,40197,11778,56,192
15715,970,215,121,208,205,69733,3103,149,13,236,103,13,192
1273737,530573,16832,6496,57493,13755,1779409,738667,14691,5655,52113,12430,71,195
1228243,350354,14762,5427,53906,14134,2016475,596374,14068,5100,53471,15977,49,196
785463,240323,9873,4027,34538,8738,1271380,356243,9191,3613,31988,9166,63,196
897026,120199,10966,4348,60677,14691,1638717,184895,11485,4291,58696,12604,61,197
1105463,266632,11380,4389,80339,23211,1800962,449919,11749,4537,83495,27427,51,197
835769,126317,14679,5484,54288,15958,1145538,173412,12503,4436,47001,12766,55,198
227276,58353,205,0,555,319,515062,117978,68,0,723,750,35,198
20775,8434,156,56,194,83,65628,37569,31,0,0,0,16,198
1062637,432736,17927,7045,57910,14527,1231024,554332,14834,5330,46368,14562,79,198
97212,10275,209,230,347,348,169414,16635,103,135,577,309,37,198
49940,3918,114,142,524,230,101765,8272,84,41,313,169,33,202
1318065,209882,15456,6339,52568,13343,2875741,343337,16189,6629,52928,13169,65,202
756662,132115,7484,2948,21593,5072,1487352,216252,7456,3009,23178,3505,62,203
15366,2841,122,171,309,129,73997,10651,6,144,174,0,12,203
16116,9664,229,119,212,118,59945,34440,122,17,47,0,15,204
120411,116944,135,103,298,24,226254,213972,122,58,177,151,43,204
722138,108262,11843,4766,42183,12250,996169,155236,10420,4159,38902,13400,58,205
819938,192572,9507,3787,34548,9560,1334105,301641,9152,3452,35124,10382,50,205
14904,7678,172,0,685,833,55120,20118,54,0,618,969,12,205
628921,131385,8886,3227,33186,6590,954776,202398,8163,2872,31524,7262,51,205
1260006,560490,21825,8184,73305,17774,1628035,706528,18845,7070,65287,12435,71,205
1238293,645673,15256,6543,56759,15305,1840839,1033601,14022,5695,50594,15602,58,207
15306,8361,302,204,633,373,55586,41994,280,209,596,1077,14,207
1527922,753891,30866,11518,116690,35526,2101180,1147015,26899,9759,106576,31783,58,208
19714,8600,200,196,707,622,81617,43748,182,140,719,1282,13,208
685308,182299,10667,3748,37587,9813,1332705,323827,11575,3897,41812,11944,48,208
25618,6105,263,156,610,560,90254,34321,388,149,1805,693,15,208
769156,172070,10818,4159,32158,7556,1162118,263553,10201,3620,31226,7816,48,208
14980,3782,193,136,201,398,78293,19452,348,21,77,563,12,208
46526,4400,138,116,732,240,101350,6199,122,69,578,216,34,209
1267263,290354,16326,7368,64872,20796,1785806,429333,14175,6529,60539,22748,66,210
1164055,127662,32705,14172,36764,2400,1685519,192805,31337,13857,36829,2892,53,210
56830,89435,251,193,21,20,139913,183637,113,97,15,162,28,211
1539409,245503,24981,10204,113882,36266,2110485,330352,22032,8880,98786,31296,56,211
31071,6894,351,172,585,1434,120896,34849,590,106,1892,3129,16,211
825943,240820,10459,3971,39826,9586,1237695,344562,9561,3868,35672,11014,73,212
1452071,179596,14304,5451,52250,15430,2540792,294067,14774,5640,51882,17870,53,212
1757820,416189,23618,7840,102597,30017,2864805,633639,22520,8137,98434,26435,71,213
455157,40244,7254,2969,21286,6463,816758,56883,6963,2916,20521,9263,49,213
762967,150954,8222,3424,19755,5426,1352020,263987,8397,3574,21260,3947,49,213
739862,311976,8352,3206,31422,6904,1162799,470180,7260,2866,28766,9183,58,214
1032499,744836,15116,6339,136535,38243,1558792,1221553,15438,6461,139926,38900,54,214
881599,181578,12664,4731,45515,13002,1321808,270492,11088,4085,42188,12441,50,216
13127,3346,163,192,419,120,51273,10026,103,102,275,13,14,216
714573,125003,10407,4186,36811,9492,1158015,202785,9303,3762,36724,11777,49,218
1164443,277123,18767,7618,65531,15010,1556659,419738,16259,6525,57866,17196,55,219
19620,4015,260,156,621,262,89398,22549,265,115,592,741,15,219
625816,342322,8873,3387,32266,9084,921136,498267,7963,2963,27958,8367,62,220
707841,167089,7728,2643,18819,4720,1412449,261010,7406,2609,17779,4699,59,220
42340,14446,197,239,491,209,137097,34117,69,127,305,358,26,220
1045114,393296,12762,4912,48470,14851,1435107,580530,11411,4175,42941,14186,62,220
787792,172525,10675,4192,35010,9584,1035999,246601,9491,3831,27387,10926,58,221
51264,4545,0,143,0,172,91357,7381,0,126,1,297,31,221
12025,927,163,134,317,142,54385,3001,34,45,66,230,12,221
42101,23180,796,284,906,217,70783,38811,494,184,541,321,36,221
411817,50136,4218,1857,16847,3987,707450,79303,4432,1775,18570,4386,45,222
24711,7055,95,134,444,189,86137,19083,74,79,328,182,18,222
61571,18675,66,0,84,117,144704,29180,6,0,67,104,29,222
936377,240625,9175,3913,35858,11945,1458827,362553,8323,3405,36422,13784,59,223
795402,165479,10992,4354,30178,9743,1110114,242854,10451,3819,29732,9708,63,223
328016,627596,501,330,777,0,521491,979473,640,221,594,135,55,223
1271590,288859,16997,6509,56542,9549,1552144,372846,13671,5294,48006,8511,65,224
1056232,411394,15267,5999,58588,16830,1496878,542902,13686,5049,50834,14872,72,224
1148457,243758,17591,7033,70311,18630,1438660,323813,14952,6070,61764,17846,57,224
933169,324336,13125,5299,51031,15680,1196487,466430,11951,4661,45384,15039,59,225
15136,3091,107,128,704,327,68281,19001,72,3,972,726,13,225
892265,197643,13545,5256,49369,13496,1284898,283076,12691,4535,44292,12577,68,225
916804,187809,8676,3130,25108,7519,1823879,317894,9244,3395,26668,8310,48,227
1248576,144459,14347,5639,47608,12466,2289729,218284,14330,5524,46348,12242,70,227
562052,262405,6300,2759,23649,6478,976841,457942,6754,2624,23775,7240,40,227
17128,9443,309,206,421,328,80341,55714,354,148,601,930,14,227
25622,3657,177,171,205,0,96904,10107,81,143,142,0,18,228
12836,3056,114,151,416,66,58745,10329,0,59,315,57,12,229
1064799,362295,12904,5213,48671,13391,1470312,532939,11378,4335,43920,14171,65,229
921262,292070,13041,4989,47259,12056,1308606,445775,11319,4297,45877,13783,66,230
11210,250,180,142,527,117,50648,1093,107,47,448,40,12,230
1094078,165476,14303,4902,52001,15353,1791058,244023,13999,4803,52577,17662,57,230
25444,4655,92,51,502,668,117238,25238,213,0,470,1995,15,230
864900,194011,10260,3681,35285,10227,1446678,293339,9564,3347,33296,9930,58,231
388225,78230,3968,1819,15212,5284,698250,131237,3505,1801,14745,7002,44,232
58205,30354,129,316,201,477,100161,49692,100,166,325,574,35,232
40095,3605,107,309,422,297,79503,6192,106,191,371,240,31,232
34814,5612,188,174,225,287,124962,15827,106,74,125,264,18,233
47002,5733,1,292,197,268,119697,11551,0,196,83,463,26,233
1061458,205777,12252,4678,41314,10109,2128120,328929,12418,4821,42022,9292,71,234
13146,1132,87,116,475,203,53408,3529,0,0,513,168,14,234
813783,145508,7946,3042,20618,5839,1512422,233711,8241,3008,21509,5433,56,234
891163,182420,11248,4216,32198,11048,1449329,279858,10439,3720,30405,11781,64,234
1097964,340406,12115,5772,110184,26534,1593540,545653,11052,5217,102187,25083,53,234
23331,7084,47,163,712,734,88285,39289,69,91,796,1951,15,234
50702,22516,58,230,142,114,144226,51581,0,143,0,434,26,235
48664,16824,224,187,425,50,133248,38984,139,123,463,83,27,235
773299,419233,12413,4656,33540,9733,983604,613308,10845,3856,29234,7825,56,235
10704,0,235,128,359,135,51172,0,249,0,150,257,12,236
970737,398227,10068,4418,112203,29098,1694268,647636,9793,4100,111624,34110,51,236
34307,18483,330,387,1217,1004,118139,99799,415,573,2926,1961,16,236
2091651,612712,22365,8221,70560,19634,2754511,774756,15880,6116,51832,12653,65,237
52696,6621,266,265,338,225,170163,15762,150,193,349,533,22,237
237342,31564,7071,2651,5933,166,411626,52976,7145,2742,5235,1191,47,238
49698,3319,83,0,0,236,96393,5601,70,0,0,193,33,238
659249,241387,9493,3506,28027,5435,973856,344355,8812,2927,26843,5977,56,238
31487,12991,0,54,347,126,93455,36462,0,0,227,40,19,238
1489448,466040,16228,5512,48732,12442,2643844,751363,15751,5583,45771,14782,56,239
18534,5805,166,207,538,514,90204,36043,68,122,503,697,13,239
13403,1359,110,90,241,49,60950,4988,0,0,80,0,13,239
10903,1328,107,160,300,152,50039,4809,0,41,78,184,12,239
34056,15625,80,46,308,328,98922,27661,8,6,253,329,20,240
1537902,232128,22396,9059,96514,30943,2163602,317192,20205,7888,86839,29640,80,240
954190,294881,14067,4998,44391,9935,1304334,423169,11677,4295,41615,10081,65,240
1155496,430493,13660,5075,56838,15123,1569146,629853,12340,4515,51899,12514,68,241
34271,10418,69,57,923,0,82379,23423,82,0,615,0,25,241
13406,3483,61,177,200,250,54374,11701,0,106,8,234,13,242
16730,2304,89,31,331,188,90482,9910,0,0,58,95,12,242
174661,1094928,864,525,422,83,262800,1890670,711,327,526,292,48,242
748779,51868,8807,3212,30240,8209,1258703,76611,7682,2953,32338,9051,47,242
14459,1360,127,125,452,493,63686,6658,25,27,562,1056,13,242
13341,3608,221,153,283,230,51953,11803,154,21,297,299,14,242
44422,2476,77,180,352,29,106614,5049,65,71,180,179,25,243
246667,25981,291,215,873,47,419996,43501,132,125,479,88,48,243
758865,540988,19424,7872,191325,50250,1221483,907650,20165,8224,189074,54788,47,244
18219,16995,248,124,1227,2488,85324,100721,519,124,3900,5670,14,244
970190,165113,11858,4992,51222,14039,1534649,244575,10941,4543,50405,11902,60,244
17332,1301,89,25,87,120,65931,3274,0,0,0,84,15,247
366671,113812,16326,8002,18941,368,514814,163942,15208,7314,16835,707,56,247
55584,17834,194,231,167,60,134255,38526,186,233,300,43,27,247
1052108,189579,10554,3818,35114,10262,2200559,321661,11261,4189,34964,11987,51,248
41491,12014,247,224,896,330,166227,62842,368,221,2045,501,17,248
1047252,197447,15869,6381,63177,17369,1877737,304175,15665,6206,63382,19448,64,248
44864,16997,261,104,319,0,98566,30919,98,111,549,2,34,249
28442,7719,166,131,244,94,106339,25604,86,77,59,116,19,249
17829,1674,175,218,421,404,59223,4121,116,119,273,430,17,250
32374,1622,59,171,577,121,76019,3111,5,134,434,117,18,250
973355,156363,11566,4130,45263,14245,1476568,253802,10324,3730,42638,16411,59,250
15643,18963,136,121,317,191,68669,69309,57,0,268,143,13,250
45025,11251,215,95,444,41,110803,22913,109,93,389,105,28,250
783340,120997,9029,3781,37988,9164,1196682,194240,8098,3413,38422,10688,50,252
405440,67582,12919,5569,11565,486,639257,105948,12584,5475,11646,623,48,252
13559,204,114,207,311,142,50224,859,3,125,107,148,14,253
734889,120257,10687,4434,39660,10423,1169581,174647,9713,3983,39029,12187,60,254
1183427,362183,15765,6099,62418,20585,1483014,515552,13526,5251,51440,17627,72,256
734152,82877,9459,3915,29616,6460,1244492,125974,9389,3459,29799,7729,70,258
978484,204412,9112,3502,88475,20500,1505182,319799,9250,3396,83640,22622,56,259
14712,3562,175,153,918,172,68530,19872,168,78,1250,618,13,259
39663,8236,180,216,311,0,66295,11368,29,134,296,0,20,259
174489,29640,252,140,857,3476,320216,54282,101,110,614,4587,36,260
762423,390010,10145,3899,37058,9388,1084444,572327,8783,3384,32974,5956,61,260
939952,164802,11636,5068,39815,10060,1680142,279796,11226,4798,39393,10572,49,261
20605,4082,153,249,652,648,79399,23890,124,182,1471,1108,14,261
1113058,286542,11594,4415,30553,8072,1953521,468641,11988,4524,30275,8595,54,261
1233091,153600,13844,5086,43338,8343,1837263,216323,13406,4580,39779,11250,59,262
24472,21545,300,171,336,318,80817,59412,247,80,298,408,17,262
669333,60976,6630,2796,16091,2449,1290320,97233,6949,2681,15187,3426,61,262
87354,12052,0,128,0,321,155667,20406,0,104,38,304,41,263
85880,10047,313,183,309,0,150863,19214,245,139,271,69,32,263
22563,2383,153,0,691,148,81074,7155,182,0,492,154,18,264
1439781,441017,16997,5562,64304,17235,2138040,653372,14767,5130,59968,16522,69,265
11196,272,178,169,258,206,50539,1060,158,123,193,145,12,265
1012876,146403,11267,4060,43767,12899,1696464,201803,10251,3687,42177,15439,67,265
47424,5192,255,292,375,0,118722,9668,203,259,320,184,30,266
2052962,360688,20923,8295,103294,33217,3139696,548621,21306,8543,100507,36593,65,266
1070655,103302,10694,4599,49430,13187,1722661,166833,10575,4467,48218,14196,51,267
797676,145558,11597,4327,37282,10819,1096331,203764,9843,3698,33395,12179,60,268
1098463,234472,14558,5883,55977,15302,2332963,381862,15077,5938,58614,17422,52,268
42892,14243,450,215,887,815,157402,76641,796,456,2452,1894,18,268
1473472,276391,24091,9554,106349,33201,2081878,418105,22634,9152,102742,36909,59,269
986756,292899,12817,4616,40780,13424,1658939,467664,12242,4262,41071,14753,65,270
1272113,254229,11437,4692,31372,8163,2411935,411347,11708,4800,33105,8639,52,271
747604,112800,7091,3057,26177,9993,1461079,181566,7577,2985,29120,10646,55,271
609329,120622,8127,3040,28182,7090,966218,188996,7463,2624,28350,6571,59,271
1254841,291125,12556,5640,52507,10256,2165538,500888,12696,5521,52241,9512,55,273
15595,1682,226,157,250,43,63601,5533,242,62,130,0,15,273
698097,131159,8553,3115,33501,9350,1113830,199160,7557,2817,34305,9656,50,273
1360693,525754,21982,7780,72767,20000,1848354,712725,19006,6839,66797,17987,70,274
1270012,356790,17808,6465,59207,11637,1750195,498520,15654,5771,54033,10642,55,278
16668,7810,233,116,447,71,59386,25923,160,0,361,0,15,278
494118,61425,6804,2774,16044,2141,801011,95575,6495,2525,14998,3174,58,278
1211024,473234,14542,5972,55211,15961,1687765,726493,12551,5030,50442,13343,56,279
1111401,301310,14457,5504,51533,12284,1480710,440084,12768,5104,46583,10673,59,279
21349,6490,238,146,62,152,65882,20497,140,48,0,18,16,281
20225,6690,251,183,284,180,64636,21245,238,98,114,194,17,281
1309164,427258,20726,7746,74274,24299,1692901,632203,17916,6787,65347,24817,65,282
228311,27847,129,160,131,0,453591,44213,90,30,515,408,39,282
777335,321726,10795,3718,34449,9039,1166011,486981,9854,3483,31257,8718,50,283
16705,6875,239,133,320,325,84454,36078,259,11,334,849,12,283
870588,122915,9523,3671,27365,5867,1387676,181176,8936,3161,26538,6692,59,283
65670,19386,175,225,342,268,130239,24623,147,113,366,243,46,283
989140,323194,15686,6713,164017,45796,1466936,523542,14229,6423,153074,44517,58,284
21737,9908,102,146,1369,1816,94086,54408,148,62,4250,5329,15,284
1478277,318916,21433,7983,100821,37643,2002894,471985,19382,7486,95821,38299,61,284
212311,11834,80,69,982,291,367111,17916,152,85,1042,274,42,284
26600,8518,0,218,0,0,61323,17019,43,155,0,0,28,286
812253,271839,12386,4698,38487,8311,1071192,358585,10337,3953,33679,8328,71,286
527896,77122,5867,2084,19218,5270,886662,126111,5419,1871,20464,5614,51,286
132801,105687,241,45,450,58,211129,181585,145,66,353,229,47,287
1202211,336110,12469,5031,39776,13336,2290128,509765,12703,4648,42193,13087,70,287
1338171,636103,19151,7452,78312,20773,1919303,893447,16238,6522,70017,21967,77,288
182528,16015,269,316,802,268,225904,19841,149,118,661,421,58,290
818556,464497,12346,4590,43155,13078,1131886,604820,10319,3865,38685,11060,57,290
31110,14452,242,116,566,710,137458,76059,211,186,1061,879,16,290
1007742,191972,12249,4683,48134,15915,1527310,274684,11498,4057,47042,15063,56,290
1677819,111657,12826,5339,51624,17141,2981096,178429,13860,5610,51957,19142,59,291
1071248,89388,14033,5477,45800,10489,1716655,127884,12807,5253,43092,14556,52,292
58342,57179,1806,828,1094,313,143043,108140,2036,827,1013,617,33,293
1638460,584725,20793,8545,66968,16722,2646137,880137,19593,7616,61641,19667,71,293
830722,149326,9254,3537,34728,13126,1480900,247077,9580,3347,35705,14494,48,294
21214,5631,247,133,791,378,81011,29110,286,88,1192,1433,13,294
903655,100692,11048,4818,39384,8184,1613833,154761,10531,4575,38890,10265,65,294
126331,13180,238,0,835,274,253850,24932,127,62,588,299,35,295
553483,117061,9371,3918,27940,3780,852456,181597,8487,3528,26827,3250,56,296
15189,832,104,157,230,75,59438,3342,50,48,0,10,15,297
2076327,609772,22455,8769,80882,21999,1899633,782239,11369,4390,47063,14536,78,299
1308197,257396,21429,8390,80823,23526,1664782,352991,18482,7268,67078,22140,69,299
150386,46234,278,101,1,52,306862,90467,212,31,284,107,34,299
828457,247787,13725,5798,50131,13797,1149743,365709,12428,4783,45971,15118,65,299
81786,19669,184,118,718,273,202989,42099,111,63,385,253,23,300
13410,10814,211,212,302,27,61977,35694,105,115,412,30,12,300
1257179,227272,15259,5483,63900,18458,1762514,338048,13981,5084,60524,16069,71,302
1355187,372661,16180,6786,119930,37437,2489869,653437,17110,6777,123812,45645,52,303
47838,28866,316,298,2050,2841,122761,136490,597,430,4889,4683,29,303
1080758,123186,12834,5289,72972,22233,1705625,178377,13048,5156,70191,26537,54,304
823921,169343,9971,3563,37301,8530,1262079,257483,8797,3424,37069,8534,73,305
55929,26963,0,98,394,282,57980,27947,46,60,618,194,52,306
1733335,489726,25019,9236,91812,29537,2679589,744138,23583,8770,86898,29638,76,308
953263,461020,11660,4346,42829,9885,1441446,674056,10308,3846,41056,12250,56,308
33844,2984,0,183,464,186,76316,4549,0,223,138,88,19,308
834485,154281,11515,4637,39334,8745,1455453,240668,10559,4498,38069,9675,64,309
1217569,177619,16210,5662,64554,18760,1682914,274714,14752,5264,60429,17634,56,309
20824,3575,175,127,452,651,79169,19215,81,54,520,1929,15,309
1344624,122401,11870,5192,51032,11744,2461841,205062,12163,5374,56830,13183,53,309
10814,0,156,115,297,186,50211,1039,19,0,246,235,12,309
49010,6473,242,183,594,2670,116287,12477,148,91,830,3377,27,311
779745,329699,10701,4159,32161,11466,1017819,462836,9638,3524,28917,11596,58,311
206787,50366,6438,2468,13089,2517,349999,76588,6009,2345,13691,2608,51,312
921461,259643,12698,4815,42706,11634,1207613,355509,11391,4111,35783,10880,65,313
994537,246528,13978,4956,49821,12947,1300734,350350,11816,4307,42773,15219,54,313
26066,6053,199,42,511,869,110856,33106,123,0,715,1618,15,313
902860,368981,9693,3934,39971,10386,1354855,581037,8860,3424,38052,12076,56,314
17594,6703,123,131,411,318,85020,37470,259,26,834,1094,14,314
1356316,136335,11841,4524,39060,14327,2341308,226086,12291,4782,40391,16353,57,317
794189,247161,7629,2851,78168,23228,1178647,386661,6900,2687,72920,26025,58,317
1195773,92458,13392,5004,44970,13893,1963966,144637,13213,5261,45166,16843,59,319
793815,187056,10594,3519,31504,8887,1289537,304129,10477,3688,33753,10386,53,319
1262465,286503,15017,5639,53779,15200,1994340,443814,14342,5228,52638,15867,64,320
862706,285065,10435,4121,37209,8893,1269908,467233,9393,3870,35912,6335,56,322
596459,137119,6053,2404,15088,3646,1082483,221868,6158,2544,15101,3850,54,322
1110452,171006,11850,4565,39170,13635,1733238,261867,10600,4422,38493,13717,52,323
12625,3734,160,131,0,185,56589,18915,151,87,35,205,12,323
1884423,179721,22180,9098,100937,33913,3320138,262046,21429,8445,99528,33783,78,325
22162,3186,211,131,392,293,77599,9055,101,0,391,370,15,325
837883,136758,9633,3890,35410,10341,1777053,212394,10141,3863,36940,9397,60,326
1137668,241800,14356,5439,50206,13109,1544976,307140,12165,4554,45235,14349,70,326
16585,5848,84,224,424,64,72422,19323,0,122,350,19,14,326
85028,77510,316,154,518,0,181597,141226,239,60,311,335,34,326
1116889,435025,13620,5627,48080,10000,1447898,607177,12371,4998,43353,10558,64,327
1464240,391053,16130,6134,48703,11690,2287027,591656,14499,5175,44461,11031,64,327
43530,11944,197,187,345,427,143972,29108,76,75,371,415,20,329
729324,174128,9266,3875,35584,10197,1225803,294209,8687,3374,37011,11565,49,329
1401678,358334,17472,6212,62652,14172,1896159,494215,15624,5105,53801,14218,72,329
26199,26332,825,348,278,723,92674,62816,1006,328,159,1035,18,330
756898,439910,10963,4212,31103,5878,1081917,700276,9765,3616,27715,4228,53,331
31027,1952,333,93,327,155,147933,5760,284,0,166,129,15,331
17830,6303,241,31,225,290,61086,17945,167,0,76,402,16,333
1010588,113380,10329,3519,33590,8661,2184884,183786,10502,3864,34745,10769,65,334
1137614,279644,15734,6522,67340,20839,1897226,443398,15255,6288,64750,20691,71,335
41862,5056,0,251,637,546,127094,11345,0,121,499,693,25,335
56269,20409,0,313,302,74,122533,41757,0,215,388,120,29,336
299175,81861,9821,4883,13679,640,544540,139281,10230,5071,14460,2462,41,336
853912,105007,6853,2571,61536,16432,1467885,151724,6530,2352,58426,18405,58,337
850207,238309,11353,4368,45402,16545,1133954,346991,10067,3739,38482,15695,56,338
1154090,118616,12006,4177,37436,10838,1934306,181731,12057,4012,37799,12043,63,338
738575,336704,12698,5416,125139,38825,1230914,510908,11914,5166,115521,35022,63,338
981416,455992,12703,5090,110920,34659,1551981,682090,11988,4754,101717,33459,60,340
1271121,128422,16404,6809,69556,17988,1997251,201279,15470,6532,68262,19853,53,341
127948,6599,187,21,250,37,238744,10573,96,6,462,209,36,341
45421,11353,78,43,333,0,150198,28677,40,0,219,51,19,343
1109526,185759,12325,4224,42621,8655,1652056,273134,10434,3382,39297,9450,64,343
106016,8396,200,145,200,1963,214085,15603,123,177,25,2476,32,344
902217,222809,14041,5237,40672,11846,1258147,324835,11579,4061,35723,8568,72,344
1165121,232462,14271,5178,46806,8694,1646062,368377,13024,4652,39928,8641,58,345
1185790,373072,10425,4860,137415,34632,1934816,582602,10371,4572,131877,33989,64,345
797810,180865,11157,3996,39295,8860,1307907,272708,10238,3399,37597,11214,57,346
63637,12438,180,174,508,365,103382,23300,144,113,271,411,32,346
733398,73617,12457,5269,12292,1505,1313782,120380,12898,5434,11939,1363,62,348
1004883,138293,9789,3669,35088,7946,1593523,205354,8495,3335,35014,8628,62,348
1307574,392066,14136,5777,163464,54626,2201235,576292,13625,5678,159990,61036,69,349
218422,73909,558,151,990,6261,288778,95303,215,38,1050,5159,55,351
1170502,253810,14142,5651,48473,11452,1781179,396591,13346,5033,44192,12926,54,352
