17566,2109,0,101,427,311,88800,7723,0,0,665,394,12,159;;;;;;;;;;;E07;32;25;32;116;116
17755,1159,129,253,117,55,59696,3684,129,207,100,0,16,159;;;;;;;;;;;;;;;;
1664842,10341054,1113,0,2242,489,1137744,10574878,365,64,1085,1029,105,159;;;;;;;;;;;;;;;;
281092,22177,61,195,253,591,500281,37323,38,159,517,352,48,159;;;;;;;;;;;;;;;;
32937,2782,229,81,142,236,111749,7347,123,40,295,111,18,159;;;;;;;;;;;;;;;;
15583,2088,19,124,356,64,56947,8104,0,0,122,39,15,159;;;;;;;;;;;;;;;;
23824,6974,123,143,347,333,78114,19008,68,38,156,331,17,159;;;;;;;;;;;;;;;;
20771,10673,114,196,502,132,73811,29077,48,86,345,10,17,159;;;;;;;;;;;;;;;;
19610,4501,209,228,457,409,67529,14588,106,199,439,475,16,159;;;;;;;;;;;;;;;;
22021,3374,205,275,259,80,70259,10110,108,202,245,176,17,160;;;;;;;;;;;;;;;;
12119,634,66,149,402,24,59826,2912,0,27,214,0,12,160;;;;;;;;;;;;;;;;
19021,1110,20,145,266,217,64619,3143,0,76,27,308,17,160;;;;;;;;;;;;;;;;
187350,14332,126,245,239,0,298527,22326,82,176,318,36,55,160;;;;;;;;;;;;;;;;
17090,1965,159,140,140,237,89567,7496,42,16,0,233,12,160;;;;;;;;;;;;;;;;
127308,52203,305,124,611,6310,194723,78255,245,56,462,5657,44,160;;;;;;;;;;;;;;;;
86293,6640,303,9,450,143,175094,12305,201,49,335,131,45,160;;;;;;;;;;;;;;;;
15192,1426,257,139,211,270,52462,4336,224,213,0,465,15,160;;;;;;;;;;;;;;;;
27555,9733,372,112,245,69,52204,16574,239,106,201,200,16,160;;;;;;;;;;;;;;;;
533728,56766,233,262,928,142,1013163,95948,249,118,1095,355,46,160;;;;;;;;;;;;;;;;
31985,2056,0,1,107,67,63162,5328,0,5,157,28,19,160;;;;;;;;;;;;;;;;
21196,3341,156,234,264,211,64070,9086,49,169,25,412,18,160;;;;;;;;;;;;;;;;
53943,12883,407,206,377,443,152100,26369,302,153,282,457,26,160;;;;;;;;;;;;;;;;
23910,15668,171,162,381,123,72242,42187,84,52,279,28,19,160;;;;;;;;;;;;;;;;
1441179,113482,767,309,1494,521,2079949,175453,445,208,982,745,63,160;;;;;;;;;;;;;;;;
32388,7815,69,313,181,80,72638,16297,0,249,0,242,20,161;;;;;;;;;;;;;;;;
98149,6340,0,34,784,121,172697,9638,0,76,452,174,40,161;;;;;;;;;;;;;;;;
16299,5428,177,89,305,180,81887,19892,64,0,35,181,12,161;;;;;;;;;;;;;;;;
23133,1809,172,236,461,301,77611,5331,122,122,381,452,16,161;;;;;;;;;;;;;;;;
21149,1794,157,240,336,753,79840,5730,40,144,150,818,16,161;;;;;;;;;;;;;;;;
136290,26282,196,359,829,1682,263367,40460,50,127,812,2278,42,161;;;;;;;;;;;;;;;;
157724,14276,186,0,799,552,208153,21884,114,46,635,490,45,161;;;;;;;;;;;;;;;;
16568,2365,120,65,173,253,64866,7578,2,0,150,327,15,161;;;;;;;;;;;;;;;;
14811,1438,92,154,54,0,50008,4419,0,67,0,0,14,161;;;;;;;;;;;;;;;;
58708,6048,0,360,503,372,114268,11199,0,219,708,525,31,161;;;;;;;;;;;;;;;;
12002,5808,214,124,411,15,51189,19684,203,0,232,0,13,162;;;;;;;;;;;;;;;;
19147,1835,83,75,356,37,69022,6187,0,0,371,0,16,162;;;;;;;;;;;;;;;;
45088,2722,328,212,554,112,96133,4055,246,193,804,97,34,162;;;;;;;;;;;;;;;;
21176,1144,168,183,352,121,111663,4140,81,112,171,5,13,162;;;;;;;;;;;;;;;;
18140,909,175,115,109,49,89810,3612,61,0,0,0,12,162;;;;;;;;;;;;;;;;
15171,1506170,154,19,380,287,61305,6841198,88,0,154,791,14,162;;;;;;;;;;;;;;;;
14138,1633,300,151,350,50,50582,5859,305,107,446,370,15,162;;;;;;;;;;;;;;;;
306355,18890,107,148,463,375,704745,39316,29,104,255,373,34,162;;;;;;;;;;;;;;;;
38513,13935,0,266,441,333,108770,39586,0,178,293,506,22,162;;;;;;;;;;;;;;;;
50573,21661,87,165,341,148,103344,42789,104,125,300,266,34,162;;;;;;;;;;;;;;;;
64977,6005,190,239,475,314,116591,9784,65,111,447,298,38,162;;;;;;;;;;;;;;;;
21358,7366,334,309,153,67,81457,19860,265,258,0,223,16,162;;;;;;;;;;;;;;;;
40353,10984,0,239,136,0,84071,19794,0,234,261,271,32,162;;;;;;;;;;;;;;;;
277961,4772837,333,124,1666,774,183637,3579872,175,85,837,504,113,163;;;;;;;;;;;;;;;;
52281,251193,245,198,599,206,101103,720390,197,61,495,320,34,163;;;;;;;;;;;;;;;;
24980,5032,196,172,42,61,74713,13300,189,108,0,17,18,163;;;;;;;;;;;;;;;;
16003,750,261,106,331,271,62148,2650,187,0,172,314,14,163;;;;;;;;;;;;;;;;
475398,18618,510,322,585,419,626841,21523,217,223,517,907,71,163;;;;;;;;;;;;;;;;
162761,14640,279,90,347,239,324114,28750,196,81,517,443,37,163;;;;;;;;;;;;;;;;
45847,1780,8,80,92,348,127655,4453,18,0,0,260,22,163;;;;;;;;;;;;;;;;
29532,14828,249,201,489,0,80939,36062,161,152,342,0,20,163;;;;;;;;;;;;;;;;
22660,3124,116,57,278,126,91125,8504,22,60,177,226,16,163;;;;;;;;;;;;;;;;
11436,453,130,315,143,373,50287,2525,0,328,115,644,12,163;;;;;;;;;;;;;;;;
16948,2648,123,89,107,290,72403,8439,25,0,317,303,14,163;;;;;;;;;;;;;;;;
113864,21480,0,65,226,0,145243,29670,8,84,502,290,53,163;;;;;;;;;;;;;;;;
64023,5167,145,212,244,308,119568,8681,77,117,281,782,36,163;;;;;;;;;;;;;;;;
48947,7211,110,110,599,55,106757,10062,121,36,383,68,34,163;;;;;;;;;;;;;;;;
14381,2739,226,216,892,40,53679,9174,127,120,1069,0,14,163;;;;;;;;;;;;;;;;
17628,3832,294,203,536,254,62270,10584,228,128,407,686,16,164;;;;;;;;;;;;;;;;
41096,5715,20,140,131,0,72287,11318,45,91,227,121,32,164;;;;;;;;;;;;;;;;
112933,22712,83,62,259,0,206143,36930,90,24,410,49,36,164;;;;;;;;;;;;;;;;
292132,41390,19,483,566,344,158297,22380,80,183,569,846,132,164;;;;;;;;;;;;;;;;
46642,3088,241,89,447,35,126997,6706,133,35,438,68,32,164;;;;;;;;;;;;;;;;
126108,24483,116,54,544,497,269621,45442,188,43,425,530,38,164;;;;;;;;;;;;;;;;
48180,13139,61,298,161,293,98755,16000,63,134,380,273,41,164;;;;;;;;;;;;;;;;
91644,4801,221,56,682,211,163873,8657,104,44,601,382,33,164;;;;;;;;;;;;;;;;
35297,2631,165,154,311,111,111075,5219,60,78,201,235,21,164;;;;;;;;;;;;;;;;
16066,3628,178,107,406,0,61706,11046,110,0,278,0,15,165;;;;;;;;;;;;;;;;
257141,35941,138,409,0,151,331495,50277,86,185,247,365,62,165;;;;;;;;;;;;;;;;
522270,14858354,0,0,1358,657,317204,10612291,99,88,852,792,120,165;;;;;;;;;;;;;;;;
119035,24425,318,148,1007,1761,191952,40838,193,134,959,2144,36,165;;;;;;;;;;;;;;;;
32259,2228,162,133,158,421,97536,5265,35,85,247,509,19,165;;;;;;;;;;;;;;;;
41039,2918,46,113,275,0,98095,5497,4,160,231,305,32,165;;;;;;;;;;;;;;;;
50218,4703,415,74,250,375,113018,8219,233,25,62,230,33,165;;;;;;;;;;;;;;;;
296972,7086049,74,751,1402,0,174776,8643641,118,295,510,501,113,165;;;;;;;;;;;;;;;;
14828,1384,181,257,383,50,69289,4539,141,172,562,0,12,165;;;;;;;;;;;;;;;;
39458,4222,132,27,184,0,88525,8464,80,73,174,49,32,165;;;;;;;;;;;;;;;;
16913,3884,151,99,239,188,81130,16154,75,0,0,105,12,165;;;;;;;;;;;;;;;;
18039,3303,184,92,153,142,95577,15727,102,0,0,105,12,165;;;;;;;;;;;;;;;;
161746,1040277,77,84,281,0,175157,1284496,95,149,222,0,57,166;;;;;;;;;;;;;;;;
15261,964,218,24,358,174,72923,3627,151,0,284,233,13,166;;;;;;;;;;;;;;;;
34484,3511,0,68,413,114,89466,7068,0,0,139,299,29,166;;;;;;;;;;;;;;;;
14409,6204,269,89,179,294,73884,21509,230,0,0,311,12,166;;;;;;;;;;;;;;;;
24454,6432,264,15,305,182,95086,16689,183,0,259,230,17,166;;;;;;;;;;;;;;;;
13788,1976,200,84,377,307,64308,6302,121,0,256,276,13,166;;;;;;;;;;;;;;;;
14899,1350,187,16,316,104,72237,6104,152,0,78,63,12,166;;;;;;;;;;;;;;;;
68381,3736,244,177,262,449,136125,5714,111,145,124,249,33,166;;;;;;;;;;;;;;;;
172610,18631,349,146,575,1,197915,23298,146,79,395,430,58,166;;;;;;;;;;;;;;;;
2509126,212840,296,0,325,211,1221955,115275,219,141,585,480,172,166;;;;;;;;;;;;;;;;
18031,2159,151,204,107,30,92574,7657,37,113,0,0,12,166;;;;;;;;;;;;;;;;
18338,1779,122,166,422,60,62157,5214,0,94,228,230,17,166;;;;;;;;;;;;;;;;
22694,2657,178,177,516,214,60746,4906,64,40,364,80,14,166;;;;;;;;;;;;;;;;
14843,4168,193,259,17,0,53777,19647,135,188,0,0,14,167;;;;;;;;;;;;;;;;
97256,20244,241,0,561,2804,139414,27065,191,0,436,2811,43,167;;;;;;;;;;;;;;;;
128359,20553,303,377,3,228,184310,33576,152,213,260,581,44,167;;;;;;;;;;;;;;;;
59850,12239,270,0,422,217,105024,22094,183,0,411,614,33,167;;;;;;;;;;;;;;;;
48756,2105,117,56,521,0,155059,4055,0,0,313,77,25,167;;;;;;;;;;;;;;;;
12419,2272,321,90,518,146,54206,8166,304,0,562,63,12,167;;;;;;;;;;;;;;;;
60206,17927,354,68,278,0,128271,31676,152,56,139,0,41,167;;;;;;;;;;;;;;;;
67673,5150,68,236,569,461,159949,10777,73,80,250,302,28,167;;;;;;;;;;;;;;;;
14794,2625,187,93,488,279,72825,8971,90,0,370,618,12,167;;;;;;;;;;;;;;;;
15630,2185,117,178,156,140,71713,6441,0,120,0,138,12,167;;;;;;;;;;;;;;;;
1080709,211847,14316,5386,64416,22460,1462919,315188,12212,5034,58192,19490,59,167;;;;;;;;;;;;;;;;
1661969,10963366,34,630,1374,1573,942365,10535730,151,208,1047,910,125,167;;;;;;;;;;;;;;;;
61944,3620,291,409,115,0,88895,5968,164,260,0,0,38,168;;;;;;;;;;;;;;;;
17985,1422,138,46,356,123,83400,5000,0,0,309,17,13,168;;;;;;;;;;;;;;;;
11978,1926,132,0,205,92,56250,7228,0,0,138,0,12,168;;;;;;;;;;;;;;;;
15644,3518,111,0,460,185,51352,10240,39,0,460,284,15,168;;;;;;;;;;;;;;;;
64886,11265,205,0,735,1639,139589,21889,122,0,876,1360,32,168;;;;;;;;;;;;;;;;
67504,9179,227,74,788,123,93166,16094,163,27,457,243,39,168;;;;;;;;;;;;;;;;
53106,11215,0,193,450,114,101025,17837,0,189,516,239,33,168;;;;;;;;;;;;;;;;
112391,8236,453,239,419,271,229721,16528,251,154,268,647,31,168;;;;;;;;;;;;;;;;
412292,27091,297,237,649,0,634028,32781,127,170,472,210,65,168;;;;;;;;;;;;;;;;
825100,3710071,270,30,372,1017,610051,4914308,161,98,683,810,86,168;;;;;;;;;;;;;;;;
36759,2361,40,257,381,345,92372,5442,52,174,318,546,20,169;;;;;;;;;;;;;;;;
38599,1933,123,81,217,368,73505,2977,44,75,99,489,33,169;;;;;;;;;;;;;;;;
16857,135972,102,56,342,157,56898,425626,30,0,98,27,16,169;;;;;;;;;;;;;;;;
18961,1401,150,186,61,248,70687,4280,24,87,0,253,16,169;;;;;;;;;;;;;;;;
126936,63928,81,0,133,379,158628,85993,156,52,323,474,53,169;;;;;;;;;;;;;;;;
68238,3193,239,162,377,257,192787,7041,167,40,419,220,24,169;;;;;;;;;;;;;;;;
57329,8239,31,69,375,271,108452,14772,2,103,495,494,39,169;;;;;;;;;;;;;;;;
140393,6488,288,272,0,174,212200,7658,106,158,0,469,46,169;;;;;;;;;;;;;;;;
56956,7930,2,224,79,250,107261,14603,150,170,44,413,33,169;;;;;;;;;;;;;;;;
642291,178421,8617,3465,26600,6537,1055216,292276,8556,3358,27149,6654,45,169;;;;;;;;;;;;;;;;
21940,7253,302,165,804,146,72531,38411,531,153,1183,603,17,169;;;;;;;;;;;;;;;;
12701,6649,117,183,367,257,51169,20769,10,144,197,454,13,169;;;;;;;;;;;;;;;;
18157,2327,92,196,294,100,63860,6939,0,77,71,183,15,169;;;;;;;;;;;;;;;;
30602,2406,84,83,496,605,103444,7172,0,38,367,728,19,169;;;;;;;;;;;;;;;;
17937,1188,35,148,277,169,97551,5911,0,37,139,155,12,169;;;;;;;;;;;;;;;;
1105611,116023,12109,4540,31698,7946,1994284,190622,12321,4355,33287,9642,46,169;;;;;;;;;;;;;;;;
25743,6558,281,218,622,345,115276,31304,461,192,909,572,16,169;;;;;;;;;;;;;;;;
25527,2764,108,99,590,523,72930,6831,43,0,509,801,18,170;;;;;;;;;;;;;;;;
14875,6028,184,78,179,197,58732,25452,95,0,31,136,14,170;;;;;;;;;;;;;;;;
28108,1308,239,272,446,155,77062,3250,138,278,276,110,20,170;;;;;;;;;;;;;;;;
16208,471,282,157,209,157,88418,2403,275,139,0,152,12,170;;;;;;;;;;;;;;;;
18617,672,83,139,352,378,60107,1828,0,19,191,599,15,170;;;;;;;;;;;;;;;;
215182,27620,0,299,1034,13,237632,31485,1,148,643,646,60,170;;;;;;;;;;;;;;;;
16889,1190,132,198,194,47,73570,3710,53,126,9,34,13,170;;;;;;;;;;;;;;;;
18750,1092,86,21,344,0,56195,3297,0,0,308,0,17,170;;;;;;;;;;;;;;;;
13336,1154,90,228,724,169,65418,5634,8,164,924,185,12,170;;;;;;;;;;;;;;;;
11939,1406,129,157,358,64,56140,5885,10,46,366,244,12,170;;;;;;;;;;;;;;;;
373444,76781,556,228,745,537,651770,109766,231,130,496,503,53,170;;;;;;;;;;;;;;;;
13492,548,221,130,469,239,54675,1837,123,11,426,197,14,170;;;;;;;;;;;;;;;;
25729,1947,193,134,37,179,116607,6079,197,0,187,914,16,170;;;;;;;;;;;;;;;;
77364,4331,110,145,258,117,186482,7970,157,160,289,394,33,170;;;;;;;;;;;;;;;;
111099,5609,53,6,536,0,172852,7977,24,92,246,150,50,170;;;;;;;;;;;;;;;;
31613,5219,363,60,472,1387,99875,13230,266,0,490,3167,20,171;;;;;;;;;;;;;;;;
15707,1730,78,213,280,148,52191,5770,12,165,406,8,15,171;;;;;;;;;;;;;;;;
17219,993,214,190,400,405,69090,5058,138,136,532,455,15,171;;;;;;;;;;;;;;;;
1221149,164952,11065,4049,31803,9546,2114243,273884,11404,4114,33527,11502,49,171;;;;;;;;;;;;;;;;
21817,4154,175,81,302,538,79944,24365,241,0,589,1640,15,171;;;;;;;;;;;;;;;;
14589,864,107,71,363,245,54478,3088,0,0,126,269,14,171;;;;;;;;;;;;;;;;
30217,2500,22,318,57,0,68267,5791,0,220,38,98,25,171;;;;;;;;;;;;;;;;
11321,421,55,68,508,384,52859,3055,0,0,501,865,12,171;;;;;;;;;;;;;;;;
14515,937,296,77,610,242,51656,2777,223,19,590,325,14,171;;;;;;;;;;;;;;;;
11836,1318,197,33,314,148,51147,4470,172,0,35,69,12,171;;;;;;;;;;;;;;;;
15305,1071,86,162,359,55,56921,5455,0,80,132,185,14,171;;;;;;;;;;;;;;;;
13474,953,202,166,239,111,65458,3278,160,116,40,54,12,171;;;;;;;;;;;;;;;;
26607,1914,403,149,237,129,71871,3707,279,56,95,121,22,171;;;;;;;;;;;;;;;;
16368,1679,166,130,287,257,63246,5533,90,0,194,473,14,171;;;;;;;;;;;;;;;;
1053549,9041433,83,310,1191,669,905624,10643041,78,146,539,902,73,171;;;;;;;;;;;;;;;;
651087,103571,7578,2851,22825,6347,1046355,162999,6847,2487,24055,6013,48,171;;;;;;;;;;;;;;;;
28936,20180,34,124,480,0,61721,40431,55,89,435,157,30,171;;;;;;;;;;;;;;;;
16605,1138,68,199,150,279,70185,3623,0,89,338,192,13,171;;;;;;;;;;;;;;;;
15463,3615,142,74,209,163,54301,10672,97,0,26,184,14,172;;;;;;;;;;;;;;;;
13218,451,135,87,333,0,57002,2632,68,0,468,0,12,172;;;;;;;;;;;;;;;;
330220,14137,13,0,4,327,524571,19187,0,0,238,374,50,172;;;;;;;;;;;;;;;;
13044,457,261,109,231,97,50482,1860,222,0,28,162,14,172;;;;;;;;;;;;;;;;
219540,66334,297,0,638,801,301391,95901,204,0,451,468,49,172;;;;;;;;;;;;;;;;
152074,9313,22,83,117,680,314027,16955,93,85,229,430,42,172;;;;;;;;;;;;;;;;
537220,42394,209,107,59,362,350387,31772,128,170,259,452,94,172;;;;;;;;;;;;;;;;
16962,4464,142,243,306,64,78870,13482,115,154,7,847,13,172;;;;;;;;;;;;;;;;
71640,14549,205,430,752,1339,127599,25275,121,210,727,1430,41,172;;;;;;;;;;;;;;;;
126202,18347,0,259,610,0,157668,18412,186,192,465,157,58,172;;;;;;;;;;;;;;;;
169932,37703,440,54,1001,362,269900,58631,189,130,658,240,50,173;;;;;;;;;;;;;;;;
1034508,16777215,563,374,2159,1253,626632,10435898,186,225,1022,913,106,173;;;;;;;;;;;;;;;;
21033,1335,71,265,139,324,90279,4357,0,215,0,479,15,173;;;;;;;;;;;;;;;;
141539,48543,351,0,428,461,224146,77314,172,25,254,517,48,173;;;;;;;;;;;;;;;;
168140,13085,377,301,878,2587,306920,18223,317,184,546,2033,44,173;;;;;;;;;;;;;;;;
11631,784,66,109,86,0,51708,3053,0,0,0,0,12,173;;;;;;;;;;;;;;;;
40698,10501,99,137,280,0,93499,21974,65,45,204,46,21,174;;;;;;;;;;;;;;;;
20725,4180,168,115,413,367,87554,17544,87,60,183,469,15,174;;;;;;;;;;;;;;;;
14414,1633,236,149,557,276,50346,6446,215,28,547,192,15,174;;;;;;;;;;;;;;;;
103516,12729,255,256,424,0,122944,15198,108,131,587,254,52,174;;;;;;;;;;;;;;;;
15730,3078,168,145,219,253,81296,11997,91,45,67,319,12,174;;;;;;;;;;;;;;;;
16690,9428,190,195,350,159,57521,29225,129,103,151,137,15,174;;;;;;;;;;;;;;;;
79792,20221,592,245,579,918,121474,30160,247,198,423,754,39,174;;;;;;;;;;;;;;;;
862784,27504,404,116,7,0,1066129,30562,229,109,401,188,69,174;;;;;;;;;;;;;;;;
992285,5928932,238,0,1555,273,473515,3553497,172,111,665,578,148,174;;;;;;;;;;;;;;;;
20554,5742,90,153,179,398,118682,34801,0,12,0,479,12,174;;;;;;;;;;;;;;;;
33588,7011,96,331,137,0,59150,12306,63,198,55,205,31,174;;;;;;;;;;;;;;;;
1117092,131067,550,106,446,520,1730305,207067,328,128,453,790,57,174;;;;;;;;;;;;;;;;
16205,2143,150,115,208,146,62918,12792,50,10,0,57,15,174;;;;;;;;;;;;;;;;
13231,3289,147,156,194,0,55722,10329,123,49,279,0,12,174;;;;;;;;;;;;;;;;
16045,6395,209,254,471,146,58856,20276,123,229,246,224,15,175;;;;;;;;;;;;;;;;
36996,1480,264,34,572,387,88769,3732,166,47,704,535,33,175;;;;;;;;;;;;;;;;
13040,3162,188,193,153,242,53207,15857,92,189,0,372,13,175;;;;;;;;;;;;;;;;
74850,45462,168,465,87,233,133069,67528,101,274,128,209,36,175;;;;;;;;;;;;;;;;
278609,19617,0,75,622,0,505977,35645,0,98,520,161,42,175;;;;;;;;;;;;;;;;
14352,1492,178,165,189,409,61867,6282,118,146,61,510,14,175;;;;;;;;;;;;;;;;
17745,732,114,159,167,226,100179,4251,20,62,0,369,12,176;;;;;;;;;;;;;;;;
15753,1378,135,96,241,0,62378,5244,30,73,12,123,15,176;;;;;;;;;;;;;;;;
339175,18579,154,0,601,359,705172,32321,149,0,830,481,47,176;;;;;;;;;;;;;;;;
1623660,146840,440,199,150,602,924867,93801,210,125,668,628,131,176;;;;;;;;;;;;;;;;
25037,3675,142,169,123,171,98512,10887,108,130,60,209,17,176;;;;;;;;;;;;;;;;
74970,6228,80,142,273,0,144752,10340,89,129,167,49,35,176;;;;;;;;;;;;;;;;
15682,2159,282,165,226,299,61450,6465,299,29,147,428,14,176;;;;;;;;;;;;;;;;
241991,13909,433,183,136,0,497303,26054,378,104,245,0,48,177;;;;;;;;;;;;;;;;
29779,2801,105,260,258,625,114606,8719,14,231,4,883,17,177;;;;;;;;;;;;;;;;
88785,5018,302,0,283,2363,180319,10315,204,0,599,1789,33,177;;;;;;;;;;;;;;;;
19193,5315,126,240,150,387,60721,18134,0,150,0,649,17,177;;;;;;;;;;;;;;;;
21896,36915,270,146,325,121,68220,100881,172,83,107,173,17,177;;;;;;;;;;;;;;;;
16054,5931,278,181,241,202,69824,30348,257,106,44,202,14,177;;;;;;;;;;;;;;;;
231446,130507,310,284,925,7514,275408,176472,311,167,819,6513,59,177;;;;;;;;;;;;;;;;
17409,2129,127,195,327,126,86366,8265,0,99,76,54,13,177;;;;;;;;;;;;;;;;
